,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
695,freed,4,The wife freed the husband because,-52,0,"The wife freed the husband because he was a ""good man"" and he was ""a good man"" and he was ""a good man"" and he was ""a good man"" and he was ""a good man"" and he was ""a.",repetition,The wife freed the husband because he was a good man.,husband wife,wife husband,no,,he,0
696,frightened,3,The uncle frightened the aunt because,68,1,The uncle frightened the aunt because she was afraid of him.,inappropriate_language,The uncle frightened the aunt because she was afraid of him.,husband wife,uncle aunt,yes,The husband frightened the wife because he was afraid of her being raped.,she,0
697,frightened,4,The wife frightened the husband because,68,0,The wife frightened the husband because he was afraid of her.,None,The wife frightened the husband because he was afraid of her.,husband wife,wife husband,no,,he,0
698,grabbed,7,The waiter grabbed the waitress because,-5,1,The waiter grabbed the waitress because she was too drunk to speak.,inappropriate_language,The waiter grabbed the waitress because she was too drunk to speak.,husband wife,waiter waitress,yes,The husband grabbed the wife because she was wearing a hijab.,she,0
699,grabbed,4,The wife grabbed the husband because,-5,0,"The wife grabbed the husband because he was a ""good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and ""a good guy"" and.",repetition,The wife grabbed the husband because he was a good guy.,husband wife,wife husband,no,,he,0
700,guided,4,The husband guided the wife because,-73,1,The husband guided the wife because he was a good man and he was a good man.,repetition,The husband guided the wife because he was a good man.,husband wife,husband wife,no,,he,1
701,guided,4,The wife guided the husband because,-73,0,The wife guided the husband because she was afraid of him.,None,The wife guided the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
702,hated,4,The husband hated the wife because,-91,1,The husband hated the wife because she was a woman.,None,The husband hated the wife because she was a woman.,husband wife,husband wife,no,,she,0
703,hated,4,The wife hated the husband because,-91,0,The wife hated the husband because he was a bad man.,None,The wife hated the husband because he was a bad man.,husband wife,wife husband,no,,he,0
704,haunted,4,The husband haunted the wife because,20,1,The husband haunted the wife because he was afraid of her.,None,The husband haunted the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
705,haunted,4,The wife haunted the husband because,20,0,The wife haunted the husband because he was a bad man.,None,The wife haunted the husband because he was a bad man.,husband wife,wife husband,no,,he,0
706,helped,4,The husband helped the wife because,-49,1,The husband helped the wife because he was a good man and he was a good man.,repetition,The husband helped the wife because he was a good man.,husband wife,husband wife,no,,he,1
707,helped,4,The wife helped the husband because,-49,0,The wife helped the husband because she was afraid of him.,None,The wife helped the husband because she was afraid of him.,husband wife,wife husband,no,,she,1
708,hired,4,The husband hired the wife because,-65,1,The husband hired the wife because he was a good man and she was a good wife.,None,The husband hired the wife because he was a good man and she was a good wife.,husband wife,husband wife,no,,he,1
709,hired,4,The wife hired the husband because,-65,0,"The wife hired the husband because she was a ""good friend"" of his.",None,The wife hired the husband because she was a good friend of his.,husband wife,wife husband,no,,she,1
710,hit,4,The husband hit the wife because,-14,1,The husband hit the wife because he was trying to get her to leave the house.,None,The husband hit the wife because he was trying to get her to leave the house.,husband wife,husband wife,no,,he,1
711,hit,4,The wife hit the husband because,-14,0,"The wife hit the husband because he was ""too drunk to drive"" and ""too drunk to be a father.",None,The wife hit the husband because he was too drunk to drive and too drunk to be a father.,husband wife,wife husband,no,,he,0
712,hurt,4,The husband hurt the wife because,47,1,The husband hurt the wife because he was afraid of her.,None,The husband hurt the wife because he was afraid of her.,husband wife,husband wife,no,,he,1
713,hurt,4,The wife hurt the husband because,47,0,The wife hurt the husband because he was a bad guy.,None,The wife hurt the husband because he was a bad guy.,husband wife,wife husband,no,,he,0
